,model,task,pe_technique,significance at 0.05,significance at 0.01,significance at 0.001,eff_size,eff_desc,is_improved
60,palm-2-chat,halueval-general,zero-shot vs null-shot,True,True,True,-0.2285714285714286,small,True
61,palm-2-chat,halueval-dialogue,zero-shot vs null-shot,False,False,False,,,True
62,palm-2-chat,math-geometry,zero-shot vs null-shot,True,False,False,-0.393939393939394,medium,True
63,palm-2-chat,math-geometry,zero-shot-cot vs null-shot-cot,False,False,False,,,True
64,palm-2-chat,math-count-prob,zero-shot vs null-shot,True,True,True,-0.7222222222222223,large,True
65,palm-2-chat,math-count-prob,zero-shot-cot vs null-shot-cot,False,False,False,,,True
66,palm-2-chat,math-pre-calc,zero-shot vs null-shot,True,True,False,-0.4838709677419355,medium,True
67,palm-2-chat,math-pre-calc,zero-shot-cot vs null-shot-cot,False,False,False,,,True
68,claude-3-opus,math-number,zero-shot vs null-shot,True,False,False,0.19424460431654672,small,False
69,claude-3-opus,math-number,zero-shot-cot vs null-shot-cot,False,False,False,,,False
70,claude-3-opus,math-algebra,zero-shot vs null-shot,False,False,False,,,False
71,claude-3-opus,math-algebra,zero-shot-cot vs null-shot-cot,False,False,False,,,False
72,claude-3-opus,anli,zero-shot vs null-shot,True,True,True,0.4335260115606936,medium,False
73,claude-3-opus,anli,zero-shot-cot vs null-shot-cot,False,False,False,,,True
74,claude-3-opus,triviaqa,zero-shot vs null-shot,True,True,True,1.0,large,False
75,claude-3-opus,triviaqa,zero-shot-cot vs null-shot-cot,True,True,True,0.9170506912442395,large,False
76,claude-3-opus,halueval-summarization,zero-shot vs null-shot,False,False,False,,,True
77,claude-3-opus,race-m,zero-shot vs null-shot,True,True,True,-0.20138888888888884,small,True
78,claude-3-opus,race-m,zero-shot-cot vs null-shot-cot,True,True,True,0.2542372881355932,small,False
79,claude-3-opus,strategyqa,zero-shot vs null-shot,True,True,True,0.9619921363040629,large,False
80,claude-3-opus,strategyqa,zero-shot-cot vs null-shot-cot,True,True,True,0.7752808988764044,large,False
81,claude-3-opus,winogrande,zero-shot vs null-shot,True,True,True,0.9977603583426651,large,False
82,claude-3-opus,winogrande,zero-shot-cot vs null-shot-cot,True,True,True,0.6622073578595318,large,False
83,claude-3-opus,math-pre-algebra,zero-shot vs null-shot,False,False,False,,,False
84,claude-3-opus,math-pre-algebra,zero-shot-cot vs null-shot-cot,False,False,False,,,True
85,claude-3-opus,math-int-algebra,zero-shot vs null-shot,False,False,False,,,True
86,claude-3-opus,math-int-algebra,zero-shot-cot vs null-shot-cot,False,False,False,,,True
87,claude-3-opus,gsm8k,zero-shot vs null-shot,True,True,True,0.83011583011583,large,False
88,claude-3-opus,gsm8k,zero-shot-cot vs null-shot-cot,False,False,False,,,False
89,claude-3-opus,aqua,zero-shot vs null-shot,True,True,True,0.4025974025974026,medium,False
90,claude-3-opus,aqua,zero-shot-cot vs null-shot-cot,False,False,False,,,False
91,claude-3-opus,halueval-qa,zero-shot vs null-shot,False,False,False,,,True
92,claude-3-opus,race-h,zero-shot vs null-shot,True,True,True,-0.23018867924528297,small,True
93,claude-3-opus,race-h,zero-shot-cot vs null-shot-cot,True,True,True,0.25438596491228066,small,False
94,claude-3-opus,halueval-general,zero-shot vs null-shot,False,False,False,,,False
95,claude-3-opus,halueval-dialogue,zero-shot vs null-shot,True,True,True,0.15528312901342672,small,False
96,claude-3-opus,math-geometry,zero-shot vs null-shot,False,False,False,,,False
97,claude-3-opus,math-geometry,zero-shot-cot vs null-shot-cot,False,False,False,,,True
98,claude-3-opus,math-count-prob,zero-shot vs null-shot,True,True,False,0.28421052631578947,small,False
99,claude-3-opus,math-count-prob,zero-shot-cot vs null-shot-cot,False,False,False,,,True
100,claude-3-opus,math-pre-calc,zero-shot vs null-shot,False,False,False,,,False
101,claude-3-opus,math-pre-calc,zero-shot-cot vs null-shot-cot,False,False,False,,,False
102,claude-2.1,math-number,zero-shot vs null-shot,False,False,False,,,False
103,claude-2.1,math-number,zero-shot-cot vs null-shot-cot,False,False,False,,,True
104,claude-2.1,math-algebra,zero-shot vs null-shot,True,False,False,0.16049382716049387,small,False
105,claude-2.1,math-algebra,zero-shot-cot vs null-shot-cot,False,False,False,,,True
106,claude-2.1,anli,zero-shot vs null-shot,True,True,True,0.22279792746113986,small,False
107,claude-2.1,anli,zero-shot-cot vs null-shot-cot,True,True,True,0.19708029197080296,small,False
108,claude-2.1,triviaqa,zero-shot vs null-shot,True,True,True,0.9925512104283054,large,False
109,claude-2.1,triviaqa,zero-shot-cot vs null-shot-cot,True,True,True,0.9404761904761905,large,False
110,claude-2.1,halueval-summarization,zero-shot vs null-shot,True,True,True,0.16331456154465007,small,False
111,claude-2.1,race-m,zero-shot vs null-shot,False,False,False,,,False
112,claude-2.1,race-m,zero-shot-cot vs null-shot-cot,True,False,False,-0.09153713298791022,small,True
113,claude-2.1,strategyqa,zero-shot vs null-shot,True,True,True,0.6934460887949261,large,False
114,claude-2.1,strategyqa,zero-shot-cot vs null-shot-cot,True,True,True,0.6294478527607361,large,False
115,claude-2.1,winogrande,zero-shot vs null-shot,True,True,True,0.8620689655172413,large,False
116,claude-2.1,winogrande,zero-shot-cot vs null-shot-cot,True,True,True,0.8837209302325582,large,False
117,claude-2.1,math-pre-algebra,zero-shot vs null-shot,True,True,False,0.22500000000000003,small,False
118,claude-2.1,math-pre-algebra,zero-shot-cot vs null-shot-cot,False,False,False,,,True
119,claude-2.1,math-int-algebra,zero-shot vs null-shot,False,False,False,,,True
120,claude-2.1,math-int-algebra,zero-shot-cot vs null-shot-cot,False,False,False,,,False
121,claude-2.1,gsm8k,zero-shot vs null-shot,True,True,True,0.6689189189189189,large,False
122,claude-2.1,gsm8k,zero-shot-cot vs null-shot-cot,True,False,False,0.18681318681318682,small,False
123,claude-2.1,aqua,zero-shot vs null-shot,True,False,False,0.26760563380281693,small,False
124,claude-2.1,aqua,zero-shot-cot vs null-shot-cot,False,False,False,,,False
125,claude-2.1,halueval-qa,zero-shot vs null-shot,True,True,True,0.37330037082818296,medium,False
126,claude-2.1,race-h,zero-shot vs null-shot,False,False,False,,,True
127,claude-2.1,race-h,zero-shot-cot vs null-shot-cot,False,False,False,,,False
128,claude-2.1,halueval-general,zero-shot vs null-shot,False,False,False,,,False
129,claude-2.1,halueval-dialogue,zero-shot vs null-shot,True,True,True,0.47126436781609193,medium,False
130,claude-2.1,math-geometry,zero-shot vs null-shot,False,False,False,,,False
131,claude-2.1,math-geometry,zero-shot-cot vs null-shot-cot,False,False,False,,,True
132,claude-2.1,math-count-prob,zero-shot vs null-shot,False,False,False,,,False
133,claude-2.1,math-count-prob,zero-shot-cot vs null-shot-cot,False,False,False,,,True
134,claude-2.1,math-pre-calc,zero-shot vs null-shot,False,False,False,,,True
135,claude-2.1,math-pre-calc,zero-shot-cot vs null-shot-cot,False,False,False,,,True
136,palm-2-text,math-number,zero-shot vs null-shot,False,False,False,,,False
137,palm-2-text,math-number,zero-shot-cot vs null-shot-cot,False,False,False,,,False
138,palm-2-text,math-algebra,zero-shot vs null-shot,False,False,False,,,False
139,palm-2-text,math-algebra,zero-shot-cot vs null-shot-cot,False,False,False,,,False
140,palm-2-text,anli,zero-shot vs null-shot,False,False,False,,,True
141,palm-2-text,anli,zero-shot-cot vs null-shot-cot,False,False,False,,,False
142,palm-2-text,triviaqa,zero-shot vs null-shot,True,True,True,-0.47368421052631576,medium,True
143,palm-2-text,triviaqa,zero-shot-cot vs null-shot-cot,True,True,False,0.2631578947368421,small,False
144,palm-2-text,halueval-summarization,zero-shot vs null-shot,True,True,True,-0.4682422451994092,medium,True
145,palm-2-text,race-m,zero-shot vs null-shot,True,True,False,-0.3548387096774193,medium,True
146,palm-2-text,race-m,zero-shot-cot vs null-shot-cot,True,True,True,-0.812807881773399,large,True
147,palm-2-text,strategyqa,zero-shot vs null-shot,True,True,True,-0.4777070063694267,medium,True
148,palm-2-text,strategyqa,zero-shot-cot vs null-shot-cot,True,True,True,0.15430861723446898,small,False
149,palm-2-text,winogrande,zero-shot vs null-shot,True,True,True,-0.5081967213114753,large,True
150,palm-2-text,winogrande,zero-shot-cot vs null-shot-cot,True,True,True,-0.5645756457564575,large,True
151,palm-2-text,math-pre-algebra,zero-shot vs null-shot,False,False,False,,,False
152,palm-2-text,math-pre-algebra,zero-shot-cot vs null-shot-cot,True,True,False,0.3255813953488372,medium,False
153,palm-2-text,math-int-algebra,zero-shot vs null-shot,False,False,False,,,True
154,palm-2-text,math-int-algebra,zero-shot-cot vs null-shot-cot,False,False,False,,,True
155,palm-2-text,gsm8k,zero-shot vs null-shot,True,True,False,-0.32352941176470584,medium,True
156,palm-2-text,gsm8k,zero-shot-cot vs null-shot-cot,True,True,True,0.5729166666666667,large,False
157,palm-2-text,aqua,zero-shot vs null-shot,False,False,False,,,False
158,palm-2-text,aqua,zero-shot-cot vs null-shot-cot,True,True,True,0.6901408450704225,large,False
159,palm-2-text,halueval-qa,zero-shot vs null-shot,False,False,False,,,True
160,palm-2-text,race-h,zero-shot vs null-shot,True,True,True,-0.35968379446640314,medium,True
161,palm-2-text,race-h,zero-shot-cot vs null-shot-cot,True,True,True,-0.7464788732394365,large,True
162,palm-2-text,halueval-general,zero-shot vs null-shot,True,True,True,-0.3540372670807453,medium,True
163,palm-2-text,halueval-dialogue,zero-shot vs null-shot,True,True,True,-0.32530120481927716,medium,True
164,palm-2-text,math-geometry,zero-shot vs null-shot,False,False,False,,,False
165,palm-2-text,math-geometry,zero-shot-cot vs null-shot-cot,False,False,False,,,True
166,palm-2-text,math-count-prob,zero-shot vs null-shot,True,True,False,0.8181818181818181,large,False
167,palm-2-text,math-count-prob,zero-shot-cot vs null-shot-cot,False,False,False,,,True
168,palm-2-text,math-pre-calc,zero-shot vs null-shot,False,False,False,,,False
169,palm-2-text,math-pre-calc,zero-shot-cot vs null-shot-cot,False,False,False,,,False
170,claude-3-haiku,math-number,zero-shot vs null-shot,False,False,False,,,True
171,claude-3-haiku,math-number,zero-shot-cot vs null-shot-cot,False,False,False,,,True
172,claude-3-haiku,math-algebra,zero-shot vs null-shot,False,False,False,,,False
173,claude-3-haiku,math-algebra,zero-shot-cot vs null-shot-cot,False,False,False,,,False
174,claude-3-haiku,anli,zero-shot vs null-shot,True,True,True,-0.3259668508287292,medium,True
175,claude-3-haiku,anli,zero-shot-cot vs null-shot-cot,False,False,False,,,False
176,claude-3-haiku,triviaqa,zero-shot vs null-shot,True,True,True,0.8974358974358974,large,False
177,claude-3-haiku,triviaqa,zero-shot-cot vs null-shot-cot,True,True,True,0.6976744186046511,large,False
178,claude-3-haiku,halueval-summarization,zero-shot vs null-shot,True,True,True,-0.16657852987837124,small,True
179,claude-3-haiku,race-m,zero-shot vs null-shot,True,True,True,0.29824561403508776,small,False
180,claude-3-haiku,race-m,zero-shot-cot vs null-shot-cot,True,True,True,-0.48571428571428577,medium,True
181,claude-3-haiku,strategyqa,zero-shot vs null-shot,True,True,True,0.39716312056737585,medium,False
182,claude-3-haiku,strategyqa,zero-shot-cot vs null-shot-cot,False,False,False,,,False
183,claude-3-haiku,winogrande,zero-shot vs null-shot,True,True,True,0.7032967032967032,large,False
184,claude-3-haiku,winogrande,zero-shot-cot vs null-shot-cot,True,True,True,0.5449330783938815,large,False
185,claude-3-haiku,math-pre-algebra,zero-shot vs null-shot,False,False,False,,,False
186,claude-3-haiku,math-pre-algebra,zero-shot-cot vs null-shot-cot,False,False,False,,,False
187,claude-3-haiku,math-int-algebra,zero-shot vs null-shot,False,False,False,,,True
188,claude-3-haiku,math-int-algebra,zero-shot-cot vs null-shot-cot,True,False,False,0.21999999999999997,small,False
189,claude-3-haiku,gsm8k,zero-shot vs null-shot,True,False,False,0.2035398230088496,small,False
190,claude-3-haiku,gsm8k,zero-shot-cot vs null-shot-cot,False,False,False,,,False
191,claude-3-haiku,aqua,zero-shot vs null-shot,False,False,False,,,False
192,claude-3-haiku,aqua,zero-shot-cot vs null-shot-cot,False,False,False,,,False
193,claude-3-haiku,halueval-qa,zero-shot vs null-shot,True,True,True,0.14769030579050102,small,False
194,claude-3-haiku,race-h,zero-shot vs null-shot,True,True,True,0.19072708113804,small,False
195,claude-3-haiku,race-h,zero-shot-cot vs null-shot-cot,True,True,True,-0.4150326797385621,medium,True
196,claude-3-haiku,halueval-general,zero-shot vs null-shot,True,True,True,0.4146341463414634,medium,False
197,claude-3-haiku,halueval-dialogue,zero-shot vs null-shot,True,True,True,-0.16525934861278646,small,True
198,claude-3-haiku,math-geometry,zero-shot vs null-shot,False,False,False,,,False
199,claude-3-haiku,math-geometry,zero-shot-cot vs null-shot-cot,False,False,False,,,True
200,claude-3-haiku,math-count-prob,zero-shot vs null-shot,False,False,False,,,True
201,claude-3-haiku,math-count-prob,zero-shot-cot vs null-shot-cot,False,False,False,,,False
202,claude-3-haiku,math-pre-calc,zero-shot vs null-shot,False,False,False,,,True
203,claude-3-haiku,math-pre-calc,zero-shot-cot vs null-shot-cot,True,False,False,-0.25333333333333335,small,True
204,gemini-pro-text,math-number,zero-shot vs null-shot,False,False,False,,,False
205,gemini-pro-text,math-number,zero-shot-cot vs null-shot-cot,False,False,False,,,True
206,gemini-pro-text,math-algebra,zero-shot vs null-shot,True,False,False,-0.21428571428571425,small,True
207,gemini-pro-text,math-algebra,zero-shot-cot vs null-shot-cot,True,True,True,-0.416058394160584,medium,True
208,gemini-pro-text,anli,zero-shot vs null-shot,False,False,False,,,True
209,gemini-pro-text,anli,zero-shot-cot vs null-shot-cot,True,True,True,0.2679738562091503,small,False
210,gemini-pro-text,triviaqa,zero-shot vs null-shot,True,True,True,0.9452631578947368,large,False
211,gemini-pro-text,triviaqa,zero-shot-cot vs null-shot-cot,True,True,True,0.9806138933764135,large,False
212,gemini-pro-text,halueval-summarization,zero-shot vs null-shot,False,False,False,,,False
213,gemini-pro-text,race-m,zero-shot vs null-shot,True,True,False,-0.2987012987012987,small,True
214,gemini-pro-text,race-m,zero-shot-cot vs null-shot-cot,True,True,False,0.30000000000000004,medium,False
215,gemini-pro-text,strategyqa,zero-shot vs null-shot,True,True,True,0.6345177664974619,large,False
216,gemini-pro-text,strategyqa,zero-shot-cot vs null-shot-cot,True,True,True,1.0,large,False
217,gemini-pro-text,winogrande,zero-shot vs null-shot,False,False,False,,,False
218,gemini-pro-text,winogrande,zero-shot-cot vs null-shot-cot,True,True,True,1.0,large,False
219,gemini-pro-text,math-pre-algebra,zero-shot vs null-shot,True,True,True,-0.41935483870967744,medium,True
220,gemini-pro-text,math-pre-algebra,zero-shot-cot vs null-shot-cot,True,True,True,-0.42196531791907516,medium,True
221,gemini-pro-text,math-int-algebra,zero-shot vs null-shot,False,False,False,,,False
222,gemini-pro-text,math-int-algebra,zero-shot-cot vs null-shot-cot,False,False,False,,,False
223,gemini-pro-text,gsm8k,zero-shot vs null-shot,True,True,True,-0.4549653579676674,medium,True
224,gemini-pro-text,gsm8k,zero-shot-cot vs null-shot-cot,True,True,True,0.3285198555956679,medium,False
225,gemini-pro-text,aqua,zero-shot vs null-shot,True,True,False,-0.3246753246753247,medium,True
226,gemini-pro-text,aqua,zero-shot-cot vs null-shot-cot,False,False,False,,,True
227,gemini-pro-text,halueval-qa,zero-shot vs null-shot,True,True,True,-0.3333333333333333,medium,True
228,gemini-pro-text,race-h,zero-shot vs null-shot,True,True,True,-0.23770491803278687,small,True
229,gemini-pro-text,race-h,zero-shot-cot vs null-shot-cot,True,False,False,0.136150234741784,small,False
230,gemini-pro-text,halueval-general,zero-shot vs null-shot,False,False,False,,,True
231,gemini-pro-text,halueval-dialogue,zero-shot vs null-shot,False,False,False,,,True
232,gemini-pro-text,math-geometry,zero-shot vs null-shot,False,False,False,,,True
233,gemini-pro-text,math-geometry,zero-shot-cot vs null-shot-cot,False,False,False,,,True
234,gemini-pro-text,math-count-prob,zero-shot vs null-shot,False,False,False,,,True
235,gemini-pro-text,math-count-prob,zero-shot-cot vs null-shot-cot,True,False,False,-0.3214285714285714,medium,True
236,gemini-pro-text,math-pre-calc,zero-shot vs null-shot,False,False,False,,,False
237,gemini-pro-text,math-pre-calc,zero-shot-cot vs null-shot-cot,False,False,False,,,True
238,gpt-4-turbo,math-number,zero-shot vs null-shot,False,False,False,,,False
239,gpt-4-turbo,math-number,zero-shot-cot vs null-shot-cot,False,False,False,,,False
240,gpt-4-turbo,math-algebra,zero-shot vs null-shot,True,True,False,0.23809523809523814,small,False
241,gpt-4-turbo,math-algebra,zero-shot-cot vs null-shot-cot,False,False,False,,,True
242,gpt-4-turbo,anli,zero-shot vs null-shot,False,False,False,,,False
243,gpt-4-turbo,anli,zero-shot-cot vs null-shot-cot,True,True,False,0.16819571865443428,small,False
244,gpt-4-turbo,triviaqa,zero-shot vs null-shot,False,False,False,,,False
245,gpt-4-turbo,triviaqa,zero-shot-cot vs null-shot-cot,False,False,False,,,False
246,gpt-4-turbo,halueval-summarization,zero-shot vs null-shot,False,False,False,,,False
247,gpt-4-turbo,race-m,zero-shot vs null-shot,False,False,False,,,True
248,gpt-4-turbo,race-m,zero-shot-cot vs null-shot-cot,True,False,False,0.11417322834645671,small,False
249,gpt-4-turbo,strategyqa,zero-shot vs null-shot,True,True,True,0.6131687242798354,large,False
250,gpt-4-turbo,strategyqa,zero-shot-cot vs null-shot-cot,False,False,False,,,False
251,gpt-4-turbo,winogrande,zero-shot vs null-shot,True,True,True,0.5544554455445545,large,False
252,gpt-4-turbo,winogrande,zero-shot-cot vs null-shot-cot,True,True,True,-0.34029227557411273,medium,True
253,gpt-4-turbo,math-pre-algebra,zero-shot vs null-shot,False,False,False,,,False
254,gpt-4-turbo,math-pre-algebra,zero-shot-cot vs null-shot-cot,False,False,False,,,False
255,gpt-4-turbo,math-int-algebra,zero-shot vs null-shot,False,False,False,,,False
256,gpt-4-turbo,math-int-algebra,zero-shot-cot vs null-shot-cot,False,False,False,,,True
257,gpt-4-turbo,gsm8k,zero-shot vs null-shot,False,False,False,,,False
258,gpt-4-turbo,gsm8k,zero-shot-cot vs null-shot-cot,False,False,False,,,False
259,gpt-4-turbo,aqua,zero-shot vs null-shot,False,False,False,,,False
260,gpt-4-turbo,aqua,zero-shot-cot vs null-shot-cot,False,False,False,,,True
261,gpt-4-turbo,halueval-qa,zero-shot vs null-shot,True,True,True,0.19640564826700896,small,False
262,gpt-4-turbo,race-h,zero-shot vs null-shot,False,False,False,,,True
263,gpt-4-turbo,race-h,zero-shot-cot vs null-shot-cot,True,True,True,0.13795674869500374,small,False
264,gpt-4-turbo,halueval-general,zero-shot vs null-shot,False,False,False,,,False
265,gpt-4-turbo,halueval-dialogue,zero-shot vs null-shot,False,False,False,,,True
266,gpt-4-turbo,math-geometry,zero-shot vs null-shot,True,False,False,0.240506329113924,small,False
267,gpt-4-turbo,math-geometry,zero-shot-cot vs null-shot-cot,False,False,False,,,False
268,gpt-4-turbo,math-count-prob,zero-shot vs null-shot,False,False,False,,,True
269,gpt-4-turbo,math-count-prob,zero-shot-cot vs null-shot-cot,False,False,False,,,False
270,gpt-4-turbo,math-pre-calc,zero-shot vs null-shot,True,False,False,0.21212121212121215,small,False
271,gpt-4-turbo,math-pre-calc,zero-shot-cot vs null-shot-cot,False,False,False,,,False
272,gpt-3.5-turbo,math-number,zero-shot vs null-shot,True,True,True,-0.4468085106382979,medium,True
273,gpt-3.5-turbo,math-number,zero-shot-cot vs null-shot-cot,False,False,False,,,True
274,gpt-3.5-turbo,math-algebra,zero-shot vs null-shot,True,True,True,-0.547486033519553,large,True
275,gpt-3.5-turbo,math-algebra,zero-shot-cot vs null-shot-cot,False,False,False,,,False
276,gpt-3.5-turbo,anli,zero-shot vs null-shot,False,False,False,,,False
277,gpt-3.5-turbo,anli,zero-shot-cot vs null-shot-cot,True,True,True,0.5384615384615385,large,False
278,gpt-3.5-turbo,triviaqa,zero-shot vs null-shot,False,False,False,,,True
279,gpt-3.5-turbo,triviaqa,zero-shot-cot vs null-shot-cot,False,False,False,,,True
280,gpt-3.5-turbo,halueval-summarization,zero-shot vs null-shot,False,False,False,,,False
281,gpt-3.5-turbo,race-m,zero-shot vs null-shot,True,False,False,0.2972972972972973,small,False
282,gpt-3.5-turbo,race-m,zero-shot-cot vs null-shot-cot,True,True,False,0.19801980198019797,small,False
283,gpt-3.5-turbo,strategyqa,zero-shot vs null-shot,True,True,False,-0.17037037037037034,small,True
284,gpt-3.5-turbo,strategyqa,zero-shot-cot vs null-shot-cot,True,True,True,0.23310023310023315,small,False
285,gpt-3.5-turbo,winogrande,zero-shot vs null-shot,False,False,False,,,False
286,gpt-3.5-turbo,winogrande,zero-shot-cot vs null-shot-cot,True,True,False,0.12262521588946457,small,False
287,gpt-3.5-turbo,math-pre-algebra,zero-shot vs null-shot,True,True,True,-0.4713656387665199,medium,True
288,gpt-3.5-turbo,math-pre-algebra,zero-shot-cot vs null-shot-cot,False,False,False,,,False
289,gpt-3.5-turbo,math-int-algebra,zero-shot vs null-shot,True,False,False,-0.18120805369127518,small,True
290,gpt-3.5-turbo,math-int-algebra,zero-shot-cot vs null-shot-cot,False,False,False,,,False
291,gpt-3.5-turbo,gsm8k,zero-shot vs null-shot,True,True,True,-0.291005291005291,small,True
292,gpt-3.5-turbo,gsm8k,zero-shot-cot vs null-shot-cot,True,False,False,0.16587677725118488,small,False
293,gpt-3.5-turbo,aqua,zero-shot vs null-shot,True,True,True,-0.45679012345679015,medium,True
294,gpt-3.5-turbo,aqua,zero-shot-cot vs null-shot-cot,False,False,False,,,False
295,gpt-3.5-turbo,halueval-qa,zero-shot vs null-shot,True,True,True,-0.32732191163210095,medium,True
296,gpt-3.5-turbo,race-h,zero-shot vs null-shot,True,False,False,0.1683168316831683,small,False
297,gpt-3.5-turbo,race-h,zero-shot-cot vs null-shot-cot,False,False,False,,,True
298,gpt-3.5-turbo,halueval-general,zero-shot vs null-shot,False,False,False,,,True
299,gpt-3.5-turbo,halueval-dialogue,zero-shot vs null-shot,True,True,True,-0.21292217327459623,small,True
300,gpt-3.5-turbo,math-geometry,zero-shot vs null-shot,True,False,False,-0.23529411764705888,small,True
