model,task,method,Correct,Incorrect,Empty
qwen-1.5-0.5b-chat,math-pre-algebra,zero-shot,11,860,0
qwen-1.5-0.5b-chat,math-pre-algebra,null-shot,6,865,0
qwen-1.5-0.5b-chat,math-int-algebra,zero-shot,5,898,0
qwen-1.5-0.5b-chat,math-int-algebra,null-shot,0,903,0
qwen-1.5-0.5b-chat,gsm8k,zero-shot,114,1205,0
qwen-1.5-0.5b-chat,gsm8k,null-shot,98,1221,0
qwen-1.5-0.5b-chat,aqua,zero-shot,48,206,0
qwen-1.5-0.5b-chat,aqua,null-shot,51,203,0
qwen-1.5-0.5b-chat,race-h,zero-shot,1432,2066,0
qwen-1.5-0.5b-chat,race-h,null-shot,1272,2226,0
qwen-1.5-0.5b-chat,math-geometry,zero-shot,1,478,0
qwen-1.5-0.5b-chat,math-geometry,null-shot,1,478,0
qwen-1.5-0.5b-chat,math-count-prob,zero-shot,2,472,0
qwen-1.5-0.5b-chat,math-count-prob,null-shot,1,473,0
qwen-1.5-0.5b-chat,math-pre-calc,zero-shot,0,546,0
qwen-1.5-0.5b-chat,math-pre-calc,null-shot,0,546,0
gemini-pro-chat,math-number,zero-shot,87,453,0
gemini-pro-chat,math-number,null-shot-cot,102,433,5
gemini-pro-chat,math-number,zero-shot-cot,90,449,1
gemini-pro-chat,math-number,null-shot,87,453,0
gemini-pro-chat,math-algebra,zero-shot,295,892,0
gemini-pro-chat,math-algebra,null-shot-cot,508,678,1
gemini-pro-chat,math-algebra,zero-shot-cot,394,793,0
gemini-pro-chat,math-algebra,null-shot,321,866,0
gemini-pro-chat,anli,zero-shot,613,559,28
gemini-pro-chat,anli,null-shot-cot,540,640,20
gemini-pro-chat,anli,zero-shot-cot,587,591,22
gemini-pro-chat,anli,null-shot,623,567,10
gemini-pro-chat,triviaqa,zero-shot,705,237,58
gemini-pro-chat,triviaqa,null-shot-cot,9,978,13
gemini-pro-chat,triviaqa,zero-shot-cot,620,341,39
gemini-pro-chat,triviaqa,null-shot,254,723,23
gemini-pro-chat,halueval-summarization,zero-shot,6611,3101,288
gemini-pro-chat,halueval-summarization,null-shot,6603,3108,289
gemini-pro-chat,race-m,zero-shot,1215,143,78
gemini-pro-chat,race-m,null-shot-cot,1179,187,70
gemini-pro-chat,race-m,zero-shot-cot,1207,148,81
gemini-pro-chat,race-m,null-shot,1224,153,59
gemini-pro-chat,strategyqa,zero-shot,1548,646,96
gemini-pro-chat,strategyqa,null-shot-cot,24,2189,77
gemini-pro-chat,strategyqa,zero-shot-cot,1521,689,80
gemini-pro-chat,strategyqa,null-shot,1155,1079,56
gemini-pro-chat,winogrande,zero-shot,807,415,45
gemini-pro-chat,winogrande,null-shot-cot,3,1253,11
gemini-pro-chat,winogrande,zero-shot-cot,791,436,40
gemini-pro-chat,winogrande,null-shot,798,438,31
gemini-pro-chat,math-pre-algebra,zero-shot,278,593,0
gemini-pro-chat,math-pre-algebra,null-shot-cot,416,451,4
gemini-pro-chat,math-pre-algebra,zero-shot-cot,345,524,2
gemini-pro-chat,math-pre-algebra,null-shot,301,570,0
gemini-pro-chat,math-int-algebra,zero-shot,134,769,0
gemini-pro-chat,math-int-algebra,null-shot-cot,117,782,4
gemini-pro-chat,math-int-algebra,zero-shot-cot,125,775,3
gemini-pro-chat,math-int-algebra,null-shot,129,773,1
gemini-pro-chat,gsm8k,zero-shot,691,585,43
gemini-pro-chat,gsm8k,null-shot-cot,826,488,5
gemini-pro-chat,gsm8k,zero-shot-cot,935,377,7
gemini-pro-chat,gsm8k,null-shot,884,431,4
gemini-pro-chat,aqua,zero-shot,65,188,1
gemini-pro-chat,aqua,null-shot-cot,134,120,0
gemini-pro-chat,aqua,zero-shot-cot,124,130,0
gemini-pro-chat,aqua,null-shot,94,159,1
gemini-pro-chat,halueval-qa,zero-shot,6198,3785,17
gemini-pro-chat,halueval-qa,null-shot,6287,3690,23
gemini-pro-chat,race-h,zero-shot,2767,508,223
gemini-pro-chat,race-h,null-shot-cot,2721,589,188
gemini-pro-chat,race-h,zero-shot-cot,2741,531,226
gemini-pro-chat,race-h,null-shot,2812,520,166
gemini-pro-chat,halueval-general,zero-shot,3684,822,1
gemini-pro-chat,halueval-general,null-shot,3686,820,1
gemini-pro-chat,halueval-dialogue,zero-shot,7666,2331,3
gemini-pro-chat,halueval-dialogue,null-shot,7685,2311,4
gemini-pro-chat,math-geometry,zero-shot,90,389,0
gemini-pro-chat,math-geometry,null-shot-cot,110,364,5
gemini-pro-chat,math-geometry,zero-shot-cot,93,378,8
gemini-pro-chat,math-geometry,null-shot,95,384,0
gemini-pro-chat,math-count-prob,zero-shot,77,397,0
gemini-pro-chat,math-count-prob,null-shot-cot,103,367,4
gemini-pro-chat,math-count-prob,zero-shot-cot,84,386,4
gemini-pro-chat,math-count-prob,null-shot,79,395,0
gemini-pro-chat,math-pre-calc,zero-shot,107,438,1
gemini-pro-chat,math-pre-calc,null-shot-cot,99,444,3
gemini-pro-chat,math-pre-calc,zero-shot-cot,95,449,2
gemini-pro-chat,math-pre-calc,null-shot,99,447,0
qwen-1.5-4b-chat,math-number,zero-shot,49,491,0
qwen-1.5-4b-chat,math-number,null-shot,66,474,0
qwen-1.5-4b-chat,math-algebra,zero-shot,298,889,0
qwen-1.5-4b-chat,math-algebra,null-shot,288,899,0
qwen-1.5-4b-chat,anli,zero-shot,409,791,0
qwen-1.5-4b-chat,anli,null-shot,400,800,0
qwen-1.5-4b-chat,triviaqa,zero-shot,443,557,0
qwen-1.5-4b-chat,triviaqa,null-shot,432,568,0
qwen-1.5-4b-chat,race-m,zero-shot,1165,271,0
qwen-1.5-4b-chat,race-m,null-shot,1174,262,0
qwen-1.5-4b-chat,strategyqa,zero-shot,1285,1005,0
qwen-1.5-4b-chat,strategyqa,null-shot,963,1327,0
qwen-1.5-4b-chat,winogrande,zero-shot,670,597,0
qwen-1.5-4b-chat,winogrande,null-shot,625,642,0
qwen-1.5-4b-chat,math-pre-algebra,zero-shot,234,637,0
qwen-1.5-4b-chat,math-pre-algebra,null-shot,209,662,0
qwen-1.5-4b-chat,math-int-algebra,zero-shot,58,845,0
qwen-1.5-4b-chat,math-int-algebra,null-shot,58,845,0
qwen-1.5-4b-chat,gsm8k,zero-shot,527,792,0
qwen-1.5-4b-chat,gsm8k,null-shot,492,827,0
qwen-1.5-4b-chat,aqua,zero-shot,88,166,0
qwen-1.5-4b-chat,aqua,null-shot,86,168,0
qwen-1.5-4b-chat,race-h,zero-shot,2598,900,0
qwen-1.5-4b-chat,race-h,null-shot,2660,838,0
qwen-1.5-4b-chat,math-geometry,zero-shot,55,424,0
qwen-1.5-4b-chat,math-geometry,null-shot,45,434,0
qwen-1.5-4b-chat,math-count-prob,zero-shot,51,423,0
qwen-1.5-4b-chat,math-count-prob,null-shot,48,426,0
qwen-1.5-4b-chat,math-pre-calc,zero-shot,46,500,0
qwen-1.5-4b-chat,math-pre-calc,null-shot,46,500,0
pythia-1b,math-number,zero-shot,0,540,0
pythia-1b,math-number,null-shot,0,540,0
pythia-1b,math-algebra,zero-shot,0,1187,0
pythia-1b,math-algebra,null-shot,0,1187,0
pythia-1b,anli,zero-shot,395,805,0
pythia-1b,anli,null-shot,403,797,0
pythia-1b,triviaqa,zero-shot,123,877,0
pythia-1b,triviaqa,null-shot,122,878,0
pythia-1b,race-m,zero-shot,291,1145,0
pythia-1b,race-m,null-shot,297,1139,0
pythia-1b,strategyqa,zero-shot,1059,1231,0
pythia-1b,strategyqa,null-shot,1071,1219,0
pythia-1b,winogrande,zero-shot,319,948,0
pythia-1b,winogrande,null-shot,435,832,0
pythia-1b,math-pre-algebra,zero-shot,0,871,0
pythia-1b,math-pre-algebra,null-shot,0,871,0
pythia-1b,math-int-algebra,zero-shot,0,903,0
pythia-1b,math-int-algebra,null-shot,0,903,0
pythia-1b,gsm8k,zero-shot,16,1303,0
pythia-1b,gsm8k,null-shot,13,1306,0
pythia-1b,aqua,zero-shot,60,194,0
pythia-1b,aqua,null-shot,58,196,0
pythia-1b,race-h,zero-shot,701,2797,0
pythia-1b,race-h,null-shot,714,2784,0
pythia-1b,math-geometry,zero-shot,0,479,0
pythia-1b,math-geometry,null-shot,0,479,0
pythia-1b,math-count-prob,zero-shot,0,474,0
pythia-1b,math-count-prob,null-shot,0,474,0
pythia-1b,math-pre-calc,zero-shot,0,546,0
pythia-1b,math-pre-calc,null-shot,0,546,0
pythia-410m,math-number,zero-shot,0,540,0
pythia-410m,math-number,null-shot,0,540,0
pythia-410m,math-algebra,zero-shot,0,1187,0
pythia-410m,math-algebra,null-shot,0,1187,0
pythia-410m,anli,zero-shot,402,798,0
pythia-410m,anli,null-shot,402,798,0
pythia-410m,triviaqa,zero-shot,75,925,0
pythia-410m,triviaqa,null-shot,72,928,0
pythia-410m,race-m,zero-shot,303,1133,0
pythia-410m,race-m,null-shot,304,1132,0
pythia-410m,strategyqa,zero-shot,1008,1282,0
pythia-410m,strategyqa,null-shot,1070,1220,0
pythia-410m,winogrande,zero-shot,402,865,0
pythia-410m,winogrande,null-shot,530,737,0
pythia-410m,math-pre-algebra,zero-shot,0,871,0
pythia-410m,math-pre-algebra,null-shot,0,871,0
pythia-410m,math-int-algebra,zero-shot,0,903,0
pythia-410m,math-int-algebra,null-shot,0,903,0
pythia-410m,gsm8k,zero-shot,23,1296,0
pythia-410m,gsm8k,null-shot,9,1310,0
pythia-410m,aqua,zero-shot,59,195,0
pythia-410m,aqua,null-shot,63,191,0
pythia-410m,race-h,zero-shot,739,2759,0
pythia-410m,race-h,null-shot,739,2759,0
pythia-410m,math-geometry,zero-shot,0,479,0
pythia-410m,math-geometry,null-shot,0,479,0
pythia-410m,math-count-prob,zero-shot,0,474,0
pythia-410m,math-count-prob,null-shot,0,474,0
pythia-410m,math-pre-calc,zero-shot,0,546,0
pythia-410m,math-pre-calc,null-shot,0,546,0
pythia-1.4b,math-number,zero-shot,0,540,0
pythia-1.4b,math-number,null-shot,0,540,0
pythia-1.4b,math-algebra,zero-shot,0,1187,0
pythia-1.4b,math-algebra,null-shot,0,1187,0
pythia-1.4b,anli,zero-shot,403,797,0
pythia-1.4b,anli,null-shot,402,798,0
pythia-1.4b,triviaqa,zero-shot,181,819,0
pythia-1.4b,triviaqa,null-shot,147,853,0
pythia-1.4b,race-m,zero-shot,319,1117,0
pythia-1.4b,race-m,null-shot,333,1103,0
pythia-1.4b,strategyqa,zero-shot,1085,1205,0
pythia-1.4b,strategyqa,null-shot,1113,1177,0
pythia-1.4b,winogrande,zero-shot,452,815,0
pythia-1.4b,winogrande,null-shot,371,896,0
pythia-1.4b,math-pre-algebra,zero-shot,0,871,0
pythia-1.4b,math-pre-algebra,null-shot,0,871,0
pythia-1.4b,math-int-algebra,zero-shot,0,903,0
pythia-1.4b,math-int-algebra,null-shot,0,903,0
pythia-1.4b,gsm8k,zero-shot,11,1308,0
pythia-1.4b,gsm8k,null-shot,11,1308,0
pythia-1.4b,aqua,zero-shot,56,198,0
pythia-1.4b,aqua,null-shot,59,195,0
pythia-1.4b,race-h,zero-shot,740,2758,0
pythia-1.4b,race-h,null-shot,753,2745,0
pythia-1.4b,math-geometry,zero-shot,0,479,0
pythia-1.4b,math-geometry,null-shot,0,479,0
pythia-1.4b,math-count-prob,zero-shot,0,474,0
pythia-1.4b,math-count-prob,null-shot,0,474,0
pythia-1.4b,math-pre-calc,zero-shot,0,546,0
pythia-1.4b,math-pre-calc,null-shot,0,546,0
palm-2-chat,math-number,zero-shot,12,128,400
palm-2-chat,math-number,null-shot-cot,21,186,333
palm-2-chat,math-number,zero-shot-cot,15,127,398
palm-2-chat,math-number,null-shot,32,286,222
palm-2-chat,math-algebra,zero-shot,42,330,815
palm-2-chat,math-algebra,null-shot-cot,84,474,629
palm-2-chat,math-algebra,zero-shot-cot,50,330,807
palm-2-chat,math-algebra,null-shot,146,748,293
palm-2-chat,anli,zero-shot,512,684,4
palm-2-chat,anli,null-shot-cot,509,686,5
palm-2-chat,anli,zero-shot-cot,522,677,1
palm-2-chat,anli,null-shot,520,675,5
palm-2-chat,triviaqa,zero-shot,702,250,48
palm-2-chat,triviaqa,null-shot-cot,691,252,57
palm-2-chat,triviaqa,zero-shot-cot,706,251,43
palm-2-chat,triviaqa,null-shot,701,256,43
palm-2-chat,halueval-summarization,zero-shot,62,9499,439
palm-2-chat,halueval-summarization,null-shot,150,9408,442
palm-2-chat,race-m,zero-shot,1056,334,46
palm-2-chat,race-m,null-shot-cot,1033,356,47
palm-2-chat,race-m,zero-shot-cot,1028,359,49
palm-2-chat,race-m,null-shot,1067,341,28
palm-2-chat,strategyqa,zero-shot,1322,904,64
palm-2-chat,strategyqa,null-shot-cot,1377,839,74
palm-2-chat,strategyqa,zero-shot-cot,1200,1032,58
palm-2-chat,strategyqa,null-shot,1344,879,67
palm-2-chat,winogrande,zero-shot,717,542,8
palm-2-chat,winogrande,null-shot-cot,724,535,8
palm-2-chat,winogrande,zero-shot-cot,758,500,9
palm-2-chat,winogrande,null-shot,767,494,6
palm-2-chat,math-pre-algebra,zero-shot,61,257,553
palm-2-chat,math-pre-algebra,null-shot-cot,82,344,445
palm-2-chat,math-pre-algebra,zero-shot-cot,59,268,544
palm-2-chat,math-pre-algebra,null-shot,132,440,299
palm-2-chat,math-int-algebra,zero-shot,37,430,436
palm-2-chat,math-int-algebra,null-shot-cot,36,486,381
palm-2-chat,math-int-algebra,zero-shot-cot,26,441,436
palm-2-chat,math-int-algebra,null-shot,66,752,85
palm-2-chat,gsm8k,zero-shot,711,605,3
palm-2-chat,gsm8k,null-shot-cot,710,606,3
palm-2-chat,gsm8k,zero-shot-cot,768,548,3
palm-2-chat,gsm8k,null-shot,727,588,4
palm-2-chat,aqua,zero-shot,38,215,1
palm-2-chat,aqua,null-shot-cot,32,222,0
palm-2-chat,aqua,zero-shot-cot,34,220,0
palm-2-chat,aqua,null-shot,40,214,0
palm-2-chat,halueval-qa,zero-shot,1170,8708,122
palm-2-chat,halueval-qa,null-shot,1903,7996,101
palm-2-chat,race-h,zero-shot,2345,1024,129
palm-2-chat,race-h,null-shot-cot,2293,1073,132
palm-2-chat,race-h,zero-shot-cot,2275,1097,126
palm-2-chat,race-h,null-shot,2361,1048,89
palm-2-chat,halueval-general,zero-shot,375,4057,75
palm-2-chat,halueval-general,null-shot,471,3964,72
palm-2-chat,halueval-dialogue,zero-shot,878,9052,70
palm-2-chat,halueval-dialogue,null-shot,892,9034,74
palm-2-chat,math-geometry,zero-shot,27,285,167
palm-2-chat,math-geometry,null-shot-cot,35,307,137
palm-2-chat,math-geometry,zero-shot-cot,26,289,164
palm-2-chat,math-geometry,null-shot,40,380,59
palm-2-chat,math-count-prob,zero-shot,23,225,226
palm-2-chat,math-count-prob,null-shot-cot,27,290,157
palm-2-chat,math-count-prob,zero-shot-cot,20,228,226
palm-2-chat,math-count-prob,null-shot,49,330,95
palm-2-chat,math-pre-calc,zero-shot,18,311,217
palm-2-chat,math-pre-calc,null-shot-cot,19,337,190
palm-2-chat,math-pre-calc,zero-shot-cot,18,312,216
palm-2-chat,math-pre-calc,null-shot,33,461,52
claude-3-opus,math-number,zero-shot,364,176,0
claude-3-opus,math-number,null-shot-cot,351,189,0
claude-3-opus,math-number,zero-shot-cot,356,184,0
claude-3-opus,math-number,null-shot,337,203,0
claude-3-opus,math-algebra,zero-shot,892,295,0
claude-3-opus,math-algebra,null-shot-cot,880,307,0
claude-3-opus,math-algebra,zero-shot-cot,890,297,0
claude-3-opus,math-algebra,null-shot,871,316,0
claude-3-opus,anli,zero-shot,728,472,0
claude-3-opus,anli,null-shot-cot,709,491,0
claude-3-opus,anli,zero-shot-cot,685,515,0
claude-3-opus,anli,null-shot,653,547,0
claude-3-opus,triviaqa,zero-shot,852,148,0
claude-3-opus,triviaqa,null-shot-cot,656,344,0
claude-3-opus,triviaqa,zero-shot-cot,855,145,0
claude-3-opus,triviaqa,null-shot,207,793,0
claude-3-opus,halueval-summarization,zero-shot,6829,3171,0
claude-3-opus,halueval-summarization,null-shot,6831,3169,0
claude-3-opus,race-m,zero-shot,1115,321,0
claude-3-opus,race-m,null-shot-cot,1167,269,0
claude-3-opus,race-m,zero-shot-cot,1227,209,0
claude-3-opus,race-m,null-shot,1173,263,0
claude-3-opus,strategyqa,zero-shot,1581,709,0
claude-3-opus,strategyqa,null-shot-cot,617,1673,0
claude-3-opus,strategyqa,zero-shot-cot,1445,845,0
claude-3-opus,strategyqa,null-shot,113,2177,0
claude-3-opus,winogrande,zero-shot,899,368,0
claude-3-opus,winogrande,null-shot-cot,368,899,0
claude-3-opus,winogrande,zero-shot-cot,764,503,0
claude-3-opus,winogrande,null-shot,8,1259,0
claude-3-opus,math-pre-algebra,zero-shot,641,230,0
claude-3-opus,math-pre-algebra,null-shot-cot,659,212,0
claude-3-opus,math-pre-algebra,zero-shot-cot,647,224,0
claude-3-opus,math-pre-algebra,null-shot,629,242,0
claude-3-opus,math-int-algebra,zero-shot,279,624,0
claude-3-opus,math-int-algebra,null-shot-cot,294,609,0
claude-3-opus,math-int-algebra,zero-shot-cot,291,612,0
claude-3-opus,math-int-algebra,null-shot,288,615,0
claude-3-opus,gsm8k,zero-shot,955,364,0
claude-3-opus,gsm8k,null-shot-cot,917,402,0
claude-3-opus,gsm8k,zero-shot-cot,926,393,0
claude-3-opus,gsm8k,null-shot,740,579,0
claude-3-opus,aqua,zero-shot,174,80,0
claude-3-opus,aqua,null-shot-cot,146,108,0
claude-3-opus,aqua,zero-shot-cot,162,92,0
claude-3-opus,aqua,null-shot,143,111,0
claude-3-opus,halueval-qa,zero-shot,6590,3410,0
claude-3-opus,halueval-qa,null-shot,6654,3346,0
claude-3-opus,race-h,zero-shot,2344,1154,0
claude-3-opus,race-h,null-shot-cot,2479,1019,0
claude-3-opus,race-h,zero-shot-cot,2711,787,0
claude-3-opus,race-h,null-shot,2527,971,0
claude-3-opus,halueval-general,zero-shot,3677,830,0
claude-3-opus,halueval-general,null-shot,3663,844,0
claude-3-opus,halueval-dialogue,zero-shot,6828,3172,0
claude-3-opus,halueval-dialogue,null-shot,6296,3704,0
claude-3-opus,math-geometry,zero-shot,219,260,0
claude-3-opus,math-geometry,null-shot-cot,213,266,0
claude-3-opus,math-geometry,zero-shot-cot,207,272,0
claude-3-opus,math-geometry,null-shot,203,276,0
claude-3-opus,math-count-prob,zero-shot,265,209,0
claude-3-opus,math-count-prob,null-shot-cot,256,218,0
claude-3-opus,math-count-prob,zero-shot-cot,250,224,0
claude-3-opus,math-count-prob,null-shot,238,236,0
claude-3-opus,math-pre-calc,zero-shot,191,355,0
claude-3-opus,math-pre-calc,null-shot-cot,193,353,0
claude-3-opus,math-pre-calc,zero-shot-cot,196,350,0
claude-3-opus,math-pre-calc,null-shot,180,366,0
pythia-31m,math-number,zero-shot,0,540,0
pythia-31m,math-number,null-shot,0,540,0
pythia-31m,math-algebra,zero-shot,0,1187,0
pythia-31m,math-algebra,null-shot,0,1187,0
pythia-31m,anli,zero-shot,40,1160,0
pythia-31m,anli,null-shot,27,1173,0
pythia-31m,triviaqa,zero-shot,16,984,0
pythia-31m,triviaqa,null-shot,20,980,0
pythia-31m,race-m,zero-shot,16,1420,0
pythia-31m,race-m,null-shot,13,1423,0
pythia-31m,strategyqa,zero-shot,8,2282,0
pythia-31m,strategyqa,null-shot,97,2193,0
pythia-31m,winogrande,zero-shot,92,1175,0
pythia-31m,winogrande,null-shot,34,1233,0
pythia-31m,math-pre-algebra,zero-shot,0,871,0
pythia-31m,math-pre-algebra,null-shot,0,871,0
pythia-31m,math-int-algebra,zero-shot,0,903,0
pythia-31m,math-int-algebra,null-shot,0,903,0
pythia-31m,gsm8k,zero-shot,8,1311,0
pythia-31m,gsm8k,null-shot,4,1315,0
pythia-31m,aqua,zero-shot,29,225,0
pythia-31m,aqua,null-shot,19,235,0
pythia-31m,race-h,zero-shot,31,3467,0
pythia-31m,race-h,null-shot,25,3473,0
pythia-31m,math-geometry,zero-shot,0,479,0
pythia-31m,math-geometry,null-shot,0,479,0
pythia-31m,math-count-prob,zero-shot,0,474,0
pythia-31m,math-count-prob,null-shot,0,474,0
pythia-31m,math-pre-calc,zero-shot,0,546,0
pythia-31m,math-pre-calc,null-shot,0,546,0
qwen-1.5-7b-chat,math-number,zero-shot,94,446,0
qwen-1.5-7b-chat,math-number,null-shot,98,442,0
qwen-1.5-7b-chat,math-algebra,zero-shot,426,761,0
qwen-1.5-7b-chat,math-algebra,null-shot,441,746,0
qwen-1.5-7b-chat,anli,zero-shot,466,734,0
qwen-1.5-7b-chat,anli,null-shot,449,751,0
qwen-1.5-7b-chat,triviaqa,zero-shot,585,415,0
qwen-1.5-7b-chat,triviaqa,null-shot,553,447,0
qwen-1.5-7b-chat,race-m,zero-shot,1241,195,0
qwen-1.5-7b-chat,race-m,null-shot,1190,246,0
qwen-1.5-7b-chat,strategyqa,zero-shot,1375,915,0
qwen-1.5-7b-chat,strategyqa,null-shot,1139,1151,0
qwen-1.5-7b-chat,winogrande,zero-shot,662,605,0
qwen-1.5-7b-chat,winogrande,null-shot,546,721,0
qwen-1.5-7b-chat,math-pre-algebra,zero-shot,307,564,0
qwen-1.5-7b-chat,math-pre-algebra,null-shot,313,558,0
qwen-1.5-7b-chat,math-int-algebra,zero-shot,81,822,0
qwen-1.5-7b-chat,math-int-algebra,null-shot,98,805,0
qwen-1.5-7b-chat,gsm8k,zero-shot,712,607,0
qwen-1.5-7b-chat,gsm8k,null-shot,668,651,0
qwen-1.5-7b-chat,aqua,zero-shot,98,156,0
qwen-1.5-7b-chat,aqua,null-shot,106,148,0
qwen-1.5-7b-chat,race-h,zero-shot,2863,635,0
qwen-1.5-7b-chat,race-h,null-shot,2773,725,0
qwen-1.5-7b-chat,math-geometry,zero-shot,81,398,0
qwen-1.5-7b-chat,math-geometry,null-shot,98,381,0
qwen-1.5-7b-chat,math-count-prob,zero-shot,83,391,0
qwen-1.5-7b-chat,math-count-prob,null-shot,81,393,0
qwen-1.5-7b-chat,math-pre-calc,zero-shot,61,485,0
qwen-1.5-7b-chat,math-pre-calc,null-shot,62,484,0
pythia-14m,math-number,zero-shot,0,540,0
pythia-14m,math-number,null-shot,0,540,0
pythia-14m,math-algebra,zero-shot,0,1187,0
pythia-14m,math-algebra,null-shot,0,1187,0
pythia-14m,anli,zero-shot,72,1128,0
pythia-14m,anli,null-shot,72,1128,0
pythia-14m,triviaqa,zero-shot,10,990,0
pythia-14m,triviaqa,null-shot,11,989,0
pythia-14m,race-m,zero-shot,35,1401,0
pythia-14m,race-m,null-shot,28,1408,0
pythia-14m,strategyqa,zero-shot,51,2239,0
pythia-14m,strategyqa,null-shot,1054,1236,0
pythia-14m,winogrande,zero-shot,514,753,0
pythia-14m,winogrande,null-shot,622,645,0
pythia-14m,math-pre-algebra,zero-shot,0,871,0
pythia-14m,math-pre-algebra,null-shot,0,871,0
pythia-14m,math-int-algebra,zero-shot,0,903,0
pythia-14m,math-int-algebra,null-shot,0,903,0
pythia-14m,gsm8k,zero-shot,4,1315,0
pythia-14m,gsm8k,null-shot,6,1313,0
pythia-14m,aqua,zero-shot,54,200,0
pythia-14m,aqua,null-shot,51,203,0
pythia-14m,race-h,zero-shot,71,3427,0
pythia-14m,race-h,null-shot,64,3434,0
pythia-14m,math-geometry,zero-shot,0,479,0
pythia-14m,math-geometry,null-shot,0,479,0
pythia-14m,math-count-prob,zero-shot,0,474,0
pythia-14m,math-count-prob,null-shot,0,474,0
pythia-14m,math-pre-calc,zero-shot,0,546,0
pythia-14m,math-pre-calc,null-shot,0,546,0
claude-2.1,math-number,zero-shot,128,412,0
claude-2.1,math-number,null-shot-cot,144,396,0
claude-2.1,math-number,zero-shot-cot,130,410,0
claude-2.1,math-number,null-shot,118,422,0
claude-2.1,math-algebra,zero-shot,523,664,0
claude-2.1,math-algebra,null-shot-cot,495,692,0
claude-2.1,math-algebra,zero-shot-cot,494,693,0
claude-2.1,math-algebra,null-shot,484,703,0
claude-2.1,anli,zero-shot,403,797,0
claude-2.1,anli,null-shot-cot,395,805,0
claude-2.1,anli,zero-shot-cot,476,724,0
claude-2.1,anli,null-shot,317,883,0
claude-2.1,triviaqa,zero-shot,733,267,0
claude-2.1,triviaqa,null-shot-cot,443,557,0
claude-2.1,triviaqa,zero-shot-cot,759,241,0
claude-2.1,triviaqa,null-shot,200,800,0
claude-2.1,halueval-summarization,zero-shot,5339,4661,0
claude-2.1,halueval-summarization,null-shot,4933,5067,0
claude-2.1,race-m,zero-shot,718,718,0
claude-2.1,race-m,null-shot-cot,716,720,0
claude-2.1,race-m,zero-shot-cot,663,773,0
claude-2.1,race-m,null-shot,711,725,0
claude-2.1,strategyqa,zero-shot,926,1364,0
claude-2.1,strategyqa,null-shot-cot,494,1796,0
claude-2.1,strategyqa,zero-shot-cot,1007,1283,0
claude-2.1,strategyqa,null-shot,270,2020,0
claude-2.1,winogrande,zero-shot,28,1239,0
claude-2.1,winogrande,null-shot-cot,21,1246,0
claude-2.1,winogrande,zero-shot-cot,173,1094,0
claude-2.1,winogrande,null-shot,3,1264,0
claude-2.1,math-pre-algebra,zero-shot,422,449,0
claude-2.1,math-pre-algebra,null-shot-cot,438,433,0
claude-2.1,math-pre-algebra,zero-shot-cot,414,457,0
claude-2.1,math-pre-algebra,null-shot,386,485,0
